pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
7,35003,35011,2,0.0,5.0,1,1.6094379124341003,0.0,1,7,distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,0
0,3,11,1,0.0,12.0,6,0.41415110829800006,0.0,1,18,distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,0
1,5003,5011,8,0.0,5.0,1,1.6094379124341003,0.0,1,6,distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,0
2,10003,10011,15,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,0
3,15003,15011,22,0.0,2.0,3,0.23104906018664842,0.0,1,5,distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,5,distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,0
7,35003,35011,2,0.0,5.0,2,0.8047189562170501,0.0,1,6,distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,0
0,3,11,1,0.0,10.0,4,0.5756462732485115,0.0,1,12,distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,0
1,5003,5011,8,0.0,11.0,7,0.34255646754262437,0.0,1,14,distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,0
2,10003,10011,15,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,0
3,15003,15011,22,0.0,2.0,3,0.23104906018664842,0.0,1,5,distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,0
7,35003,35011,2,0.0,6.0,1,1.791759469228055,0.0,1,7,distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,0
0,3,11,1,29.0,34.0,75,0.40726206725268527,0.5968137254901961,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0
1,5003,5011,8,33.0,35.0,6,0.5925580102482356,0.6593137254901961,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0
2,10003,10011,15,23.0,37.0,22,0.29973690909979633,0.5171568627450981,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0
